"filename", "language", "Markdown", "Makefile", "Go Module File", "Go", "Go Checksum File", "YAML", "comment", "blank", "total"
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\tcMsgpb\tcMsg.pb.go", "Go", 0, 0, 0, 299, 0, 0, 10, 40, 349
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\tcMsgpb\tcMsg_grpc.pb.go", "Go", 0, 0, 0, 70, 0, 0, 23, 15, 108
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\tcPartSigMsgpb\tcPartSigMsg.pb.go", "Go", 0, 0, 0, 189, 0, 0, 10, 26, 225
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\tcPartSigMsgpb\tcPartSigMsg_grpc.pb.go", "Go", 0, 0, 0, 70, 0, 0, 23, 15, 108
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\tcSetupMsgpb\tcSetupMsg.pb.go", "Go", 0, 0, 0, 260, 0, 0, 9, 34, 303
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\tcSetupMsgpb\tcSetupMsg_grpc.pb.go", "Go", 0, 0, 0, 70, 0, 0, 23, 15, 108
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\normalMsgHandler.go", "Go", 0, 0, 0, 221, 0, 0, 20, 41, 282
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\setupMsgHadler.go", "Go", 0, 0, 0, 196, 0, 0, 26, 38, 260
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\util\util.go", "Go", 0, 0, 0, 11, 0, 0, 1, 4, 16
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\variables.go", "Go", 0, 0, 0, 46, 0, 0, 38, 36, 120
"Total", "-", 142, 14, 60, 7558, 1015, 13, 849, 1263, 10914
